,poem_line,nazm_name,author_name
506,وہی منظر وہی اسرار ان کے,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
507,وہی بادل ہزاروں روپ والے,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
508,چمکتے دن سنہری دھوپ والے,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
509,وہی دن رات کے منظر سہانے,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
510,وہی پنچھی وہی ان کے ترانے,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
511,وہی گلشن وہی ان کی بہاریں,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
512,وہی معصوم پودوں کی قطاریں,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
513,وہی جھرنے وہی ندیوں کا پانی,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
514,وہی نغمے وہی دل کش کہانی,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
515,وہی صبحیں وہی گلنار شامیں,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
516,وہی مہتاب و انجم اور راتیں,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
517,وہی دھرتی وہی ماں جیسی دھرتی,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
518,نظر آتی ہے جو فردوس عرضی,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
519,زمیں پر نیکیاں زندہ رہیں گی,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
520,تو یہ شاید زندہ رہیں گی,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
521,نہ ہوگی آدمیت آدمی میں,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
522,تو کیا آبادیاں زندہ رہیں گی,اگر ہو آدمیت آدمی میں,عبد الرحیم نشتر
523,سورج اپنی پچکاری سے کرتا ہے یلغار,پیار بھرا تہوار,عبد الرحیم نشتر
524,صبح کے اجلے دامن پہ ہے رنگا رنگ بہار,پیار بھرا تہوار,عبد الرحیم نشتر
525,نیلے پیلے لال گلابی رنگوں کی بوچھار,پیار بھرا تہوار,عبد الرحیم نشتر
526,جھومیں ناچیں دھوم مچائیں گلیاں اور بازار,پیار بھرا تہوار,عبد الرحیم نشتر
527,باجے تاشے سیر تماشے لے کر جاگی بھور,پیار بھرا تہوار,عبد الرحیم نشتر
528,رنگ کے اندر رنگ جگائے ہولی چاروں اور,پیار بھرا تہوار,عبد الرحیم نشتر
529,مستوں کی ٹولی کے پیچھے ہے مستوں کا شور,پیار بھرا تہوار,عبد الرحیم نشتر
530,آج ترنگوں اور امنگوں کا ہے پورا زور,پیار بھرا تہوار,عبد الرحیم نشتر
531,راگ رنگ اور کھیل تماشے ہولی کا اپہار,پیار بھرا تہوار,عبد الرحیم نشتر
532,ہردے ہردے پریم جگائے پیار بھرا تہوار,پیار بھرا تہوار,عبد الرحیم نشتر
533,میٹھی میٹھی چھیڑ چھاڑ اور میٹھی میٹھی دھوم,پیار بھرا تہوار,عبد الرحیم نشتر
534,گلیوں گلیوں سڑکوں سڑکوں باجیں من کے تار,پیار بھرا تہوار,عبد الرحیم نشتر
535,نت رنگوں سے یک رنگی کا جاگے جب احساس,پیار بھرا تہوار,عبد الرحیم نشتر
536,تب ہولی کا جشن منائے دھرتی اور آکاس,پیار بھرا تہوار,عبد الرحیم نشتر
537,سرمئی پہاڑوں پر,بہار سب کے لئے,عبد الرحیم نشتر
538,یہ ہرے بھرے جنگل,بہار سب کے لئے,عبد الرحیم نشتر
539,شاخ شاخ ہریالی,بہار سب کے لئے,عبد الرحیم نشتر
540,چومتے ہوئے پنچھی,بہار سب کے لئے,عبد الرحیم نشتر
541,چار سو فضاؤں میں,بہار سب کے لئے,عبد الرحیم نشتر
542,زندگی مہکتی ہے,بہار سب کے لئے,عبد الرحیم نشتر
543,پھول مسکراتے ہیں,بہار سب کے لئے,عبد الرحیم نشتر
544,رنگ و نور کی چادر,بہار سب کے لئے,عبد الرحیم نشتر
545,اوڑھ کر ہوا نکلی,بہار سب کے لئے,عبد الرحیم نشتر
546,آسمان روشن ہے,بہار سب کے لئے,عبد الرحیم نشتر
547,دور تک زمیں اپنی,بہار سب کے لئے,عبد الرحیم نشتر
548,بانہہ کھولے ماں جیسی,بہار سب کے لئے,عبد الرحیم نشتر
549,کھیلتے پرندوں کو,بہار سب کے لئے,عبد الرحیم نشتر
550,پیار سے بلاتی ہے,بہار سب کے لئے,عبد الرحیم نشتر
551,تتلیوں کے جھرمٹ سے,بہار سب کے لئے,عبد الرحیم نشتر
552,ایک ایک پگڈنڈی,بہار سب کے لئے,عبد الرحیم نشتر
553,بے نظیر لگتی ہے,بہار سب کے لئے,عبد الرحیم نشتر
554,جیسے کوئی ماں بیٹی,بہار سب کے لئے,عبد الرحیم نشتر
555,صاف ستھرے آنگن میں,بہار سب کے لئے,عبد الرحیم نشتر
556,چٹکیوں سے رنگوں کی,بہار سب کے لئے,عبد الرحیم نشتر
557,روشنی لٹاتی ہوں,بہار سب کے لئے,عبد الرحیم نشتر
558,سرمئی پہاڑوں کے,بہار سب کے لئے,عبد الرحیم نشتر
559,مشرقی کناروں پر,بہار سب کے لئے,عبد الرحیم نشتر
560,روشنی چمکتی ہے,بہار سب کے لئے,عبد الرحیم نشتر
561,زندگی دمکتی ہے,بہار سب کے لئے,عبد الرحیم نشتر
562,یہ بہار کا موسم,بہار سب کے لئے,عبد الرحیم نشتر
563,اس زمیں سے اگتا ہے,بہار سب کے لئے,عبد الرحیم نشتر
564,اس زمیں کا حصہ ہے,بہار سب کے لئے,عبد الرحیم نشتر
565,جس کسی کا جی چاہے,بہار سب کے لئے,عبد الرحیم نشتر
566,یہ بہار لے جائے,بہار سب کے لئے,عبد الرحیم نشتر
567,سرمئی پہاڑوں کے,بہار سب کے لئے,عبد الرحیم نشتر
568,جنگلوں کی شادابی,بہار سب کے لئے,عبد الرحیم نشتر
569,شاخ شاخ ہریالی,بہار سب کے لئے,عبد الرحیم نشتر
570,جس کسی کا جی چاہے,بہار سب کے لئے,عبد الرحیم نشتر
571,اپنی روح مہکائے,بہار سب کے لئے,عبد الرحیم نشتر
572,ایک چھبیلی نئی نویلی سندر پیاری لڑکی,ایک چھبیلی عید,عبد الرحیم نشتر
573,نئے چاند کی نورانی کشتی سے نیچے اتری,ایک چھبیلی عید,عبد الرحیم نشتر
574,آسمان سے لے کر زمیں تک پھول گرائے اس نے,ایک چھبیلی عید,عبد الرحیم نشتر
575,جدھر جدھر سے گزری گھر آنگن مہکائے اس نے,ایک چھبیلی عید,عبد الرحیم نشتر
576,اک البیلی نئی نویلی دودھ سی اجلی لڑکی,ایک چھبیلی عید,عبد الرحیم نشتر
577,شیر خورمہ اور سوئیاں کھاتی کھلاتی آئی,ایک چھبیلی عید,عبد الرحیم نشتر
578,نردھن اور دھنوان سبھی سے ہنستی ہنساتی آئی,ایک چھبیلی عید,عبد الرحیم نشتر
579,قدم قدم پر خوشیوں کی سوغات لٹاتی آئی,ایک چھبیلی عید,عبد الرحیم نشتر
580,ایک چھبیلی نئی نویلی نٹکھٹ چنچل لڑکی,ایک چھبیلی عید,عبد الرحیم نشتر
581,رنگ برنگی پوشاکوں میں میلہ گھوم رہی ہے,ایک چھبیلی عید,عبد الرحیم نشتر
582,جھپٹ رہی ہے سب سے عیدی خوش ہے جھوم رہی ہے,ایک چھبیلی عید,عبد الرحیم نشتر
583,آج تو سارے دن ہی گویا اس کی دھوم رہی ہے,ایک چھبیلی عید,عبد الرحیم نشتر
584,ایک چھبیلی نئی نویلی عید چلی آئی ہے,ایک چھبیلی عید,عبد الرحیم نشتر
585,کتنی خوشیاں کتنے نغمے دامن میں لائی ہے,ایک چھبیلی عید,عبد الرحیم نشتر
586,رات ہماری ماں جیسی ہے,رات,عبد الرحیم نشتر
587,نیند ہماری آنکھ میں رکھ کر,رات,عبد الرحیم نشتر
588,میٹھے میٹھے خواب دکھائے,رات,عبد الرحیم نشتر
589,دور کہیں لے کر اڑ جائے,رات,عبد الرحیم نشتر
590,دیس بدیس کی سیر کرائے,رات,عبد الرحیم نشتر
591,رنگ برنگے ہلکے بادل,رات,عبد الرحیم نشتر
592,بادل اندر بجتی پائل,رات,عبد الرحیم نشتر
593,چھم چھم کرتی بوند گرائے,رات,عبد الرحیم نشتر
594,بوند بوند میں پھول کھلائے,رات,عبد الرحیم نشتر
595,پھول پھول میں خوشبو مہکے,رات,عبد الرحیم نشتر
596,خوشبو مہکے دنیا لہکے,رات,عبد الرحیم نشتر
597,دنیا لہکے گیت سنائے,رات,عبد الرحیم نشتر
598,گیت سنے تو پریاں آئیں,رات,عبد الرحیم نشتر
599,پیارے پیارے پر پھیلائیں,رات,عبد الرحیم نشتر
600,پر پھیلے تو نیند سہانی,رات,عبد الرحیم نشتر
601,ممتا کا آنچل لہرائے,رات,عبد الرحیم نشتر
602,دن بھر کا دکھ درد مٹائے,رات,عبد الرحیم نشتر
603,نئی نویلی صبح دکھائے,رات,عبد الرحیم نشتر
604,دیکھا رات بھلی کیسی ہے,رات,عبد الرحیم نشتر
605,بالکل اپنی ماں جیسی ہے,رات,عبد الرحیم نشتر
606,ابر کے ٹکڑے نٹ کھٹ لڑکوں جیسے گھوم رہے ہیں,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
607,پانی کی بوچھاریں کھا کر پودے جھوم رہے ہیں,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
608,برکھا رانی بڑی سیانی بادل بادل ڈولے,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
609,پی ہو پی ہو پنکھ پسارے بن میں کوئل بولے,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
610,دھیرے دھیرے مینڈک اپنا ساز بجاتے نکلے,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
611,بھیگی بھیگی شانت فضا میں شور مچاتے نکلے,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
612,مینڈک راگ سنا تو جھینگر دوڑے دوڑے آئیں,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
613,رنگ منچ پر آنے سے وہ پیچھے کیوں رہ جائیں,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
614,ہر نغمے کی لے پر جھومے پیڑوں کی ہریالی,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
615,پون سہانے گیت سنائے مہکے ڈالی ڈالی,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
616,ڈالی ڈالی سندر کومل پھولوں کی مہکار,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
617,رستہ رستہ گونجے جیسے تازہ گیت بہار,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
618,جب دھرتی پر برکھا رانی چھم چھم کرتی آئے,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
619,یوں لگتا ہے ساری دھرتی نکھری نکھری جائے,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
620,جھرجھر کرتا جھرنا بولے سب کی پیاس بجھاؤ,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
621,رمتے جوگی بہتا پانی نشترؔ جی بن جاؤ,سب کی پیاس بجھاؤ,عبد الرحیم نشتر
622,سردی کھاتے دانت بجاتے آئے دسمبر بابا,دسمبر,عبد الرحیم نشتر
623,رنگ برنگے اونی کپڑے لائے دسمبر بابا,دسمبر,عبد الرحیم نشتر
624,صبح سلونی گرم چائے کی پیالی لے کر دوڑی,دسمبر,عبد الرحیم نشتر
625,کیسا تھر تھر کانپ رہے ہیں ہائے دسمبر بابا,دسمبر,عبد الرحیم نشتر
626,ان کی داڑھی چاندی جیسی دھوپ پڑے تو چمکے,دسمبر,عبد الرحیم نشتر
627,لیکن نٹکھٹ لڑکی سا چھپ جائے دسمبر بابا,دسمبر,عبد الرحیم نشتر
628,دور گگن پر نٹ کھٹ بادل سبھا سجانے بیٹھے,دسمبر,عبد الرحیم نشتر
629,اجلے اجلے اون کے گولے لائے دسمبر بابا,دسمبر,عبد الرحیم نشتر
630,صبح سہانی شام سہانی ہر پل نئی کہانی,دسمبر,عبد الرحیم نشتر
631,مزے مزے کے قصے لے کر آئے دسمبر بابا,دسمبر,عبد الرحیم نشتر
632,کہیں انگیٹھی کہیں الاؤ ہاتھ تاپتے جاؤ,دسمبر,عبد الرحیم نشتر
633,موسم دوڑے اور پیچھے رہ جائے دسمبر بابا,دسمبر,عبد الرحیم نشتر
634,دیواروں پر نئے کلنڈر نئے مناظر ہوں گے,دسمبر,عبد الرحیم نشتر
635,دوڑی دوڑی آئی جنوری بائے دسمبر بابا,دسمبر,عبد الرحیم نشتر
636,تمام عمر دل خود نگر کی نذر ہوئی,خروش خم,عبد العزیز خالد
637,ادھورے خواب ہیں دامن میں تشنہ لب باتیں,خروش خم,عبد العزیز خالد
638,گلو گرفتہ گلے بے اثر مناجاتیں,خروش خم,عبد العزیز خالد
639,جو گھٹ کے مر گئیں سینے میں وہ ملاقاتیں,خروش خم,عبد العزیز خالد
640,جو کروٹوں میں کٹیں وہ گناہ کی راتیں,خروش خم,عبد العزیز خالد
641,بہ شوق قدر کہیں جن کی قدر ہو نہ سکی,خروش خم,عبد العزیز خالد
642,وہ ارمغان نوا وہ سخن کی سوغاتیں,خروش خم,عبد العزیز خالد
643,بہ نام حسن وہ چٹھی جو ڈر کی نذر ہوئی,خروش خم,عبد العزیز خالد
644,زمانے کی نگۂ کج نظر کی نذر ہوئی,خروش خم,عبد العزیز خالد
645,تمام عمر دل پر حذر کی نذر ہوئی,خروش خم,عبد العزیز خالد
646,بکار گزری ہے جانے کہ رائیگاں گزری,خروش خم,عبد العزیز خالد
647,گھر اے دل بے قرار زنداں سے کم نہیں قید کون کاٹے,مری میں جشن شب منور,عبدالعزیز فطرت
648,حسین سرما کا چاند دیوانہ وار کو بلا رہا ہے,مری میں جشن شب منور,عبدالعزیز فطرت
649,فسون‌ مہتاب کی قسم ہے پھر آج شب کچھ نہ لکھ سکوں گا,مری میں جشن شب منور,عبدالعزیز فطرت
650,پھر آج گھر میں نہ رہ سکوں گا,مری میں جشن شب منور,عبدالعزیز فطرت
651,کہ اک جنوں سا ہے مجھ پہ طاری,مری میں جشن شب منور,عبدالعزیز فطرت
652,مناظر کوہ و کنج جشن شب منور منا رہے ہیں,مری میں جشن شب منور,عبدالعزیز فطرت
653,بلا رہے ہیں مجھے مرے واسطے قیامت اٹھا رہے ہیں,مری میں جشن شب منور,عبدالعزیز فطرت
654,غضب کی اس برف بستہ ٹھنڈی ہوا میں سیلاب چاندنی کا,مری میں جشن شب منور,عبدالعزیز فطرت
655,بدن تو ہے منجمد رگوں میں لہو مگر تمتما رہا ہے,مری میں جشن شب منور,عبدالعزیز فطرت
656,بلا کی ہے سرد رات لیکن میں آج آوارگی کروں گا,مری میں جشن شب منور,عبدالعزیز فطرت
657,کہ چاند وادی کے ذرے ذرے کو جلوہ خانہ بنا رہا ہے,مری میں جشن شب منور,عبدالعزیز فطرت
658,نہ رک سکوں گا میں آج گھر میں,مری میں جشن شب منور,عبدالعزیز فطرت
659,کہ چاندنی کی کشش غضب ہے,مری میں جشن شب منور,عبدالعزیز فطرت
660,سفینۂ شوق و شعر دنیائے نور میں ڈگمگا رہا ہے,مری میں جشن شب منور,عبدالعزیز فطرت
661,سکوت شب میں فضا بھی جز و سکوت شب ہو گئی ہے فطرتؔ,مری میں جشن شب منور,عبدالعزیز فطرت
662,مہ درخشاں فقط غزل میری زیر لب گنگنا رہا ہے,مری میں جشن شب منور,عبدالعزیز فطرت
663,میں آج گھر پر نہ رک سکوں گا,مری میں جشن شب منور,عبدالعزیز فطرت
664,حسین سرما کا چاند اشاروں سے دیکھ مجھ کو بلا رہا ہے,مری میں جشن شب منور,عبدالعزیز فطرت
665,وہ ایک فن کار تھا,تھم گئی تال انفاس کی,عبد الوہاب سخن
666,جس کی آواز برسوں تلک,تھم گئی تال انفاس کی,عبد الوہاب سخن
667,محبت کے نغمے سناتی رہی,تھم گئی تال انفاس کی,عبد الوہاب سخن
668,امن کے گیت گاتی رہی,تھم گئی تال انفاس کی,عبد الوہاب سخن
669,جس کی آواز سے سر مکمل ہوئے,تھم گئی تال انفاس کی,عبد الوہاب سخن
670,جس کی آواز نے لے کو بخشی جلا,تھم گئی تال انفاس کی,عبد الوہاب سخن
671,اس کی آواز پیغام صبح مسرت بھی تھی,تھم گئی تال انفاس کی,عبد الوہاب سخن
672,اس کی آواز اک درد شام غریباں بھی تھی,تھم گئی تال انفاس کی,عبد الوہاب سخن
673,وہ ایک فن کار تھا,تھم گئی تال انفاس کی,عبد الوہاب سخن
674,وقت کے ساز پر گا رہا تھا غزل,تھم گئی تال انفاس کی,عبد الوہاب سخن
675,مسکرانے لگی جس کو سن کے اجل,تھم گئی تال انفاس کی,عبد الوہاب سخن
676,تھم گئی تال انفاس کی,تھم گئی تال انفاس کی,عبد الوہاب سخن
677,دم بخود سارے سر رہ گئے,تھم گئی تال انفاس کی,عبد الوہاب سخن
678,جھلملانے لگی شمع لطف و سرور,تھم گئی تال انفاس کی,عبد الوہاب سخن
679,اہل محفل سبھی نوحہ خواں ہو گئے,تھم گئی تال انفاس کی,عبد الوہاب سخن
680,اور وہ مطرب دلبراں,تھم گئی تال انفاس کی,عبد الوہاب سخن
681,سب کو محو الم چھوڑ کر,تھم گئی تال انفاس کی,عبد الوہاب سخن
682,سو گیا دائمی نیند کی نرم آغوش میں,تھم گئی تال انفاس کی,عبد الوہاب سخن
683,کہاں جانا تھا مجھ کو,پروں میں شام ڈھلتی ہے,عباس تابش
684,کس نگر کی خاک بالوں میں سجانا تھی,پروں میں شام ڈھلتی ہے,عباس تابش
685,مجھے کن ٹہنیوں سے دھوپ چننا تھی,پروں میں شام ڈھلتی ہے,عباس تابش
686,کہاں خیمہ لگانا تھا,پروں میں شام ڈھلتی ہے,عباس تابش
687,مری مٹی رہ سیارگاں کی ہم قدم نکلی,پروں میں شام ڈھلتی ہے,عباس تابش
688,مری پلکوں پہ تارے جھلملاتے ہیں,پروں میں شام ڈھلتی ہے,عباس تابش
689,بدن میں آگ جلتی ہے,پروں میں شام ڈھلتی ہے,عباس تابش
690,مگر پاؤں میں خوں آشام رستے لڑکھڑاتے ہیں,پروں میں شام ڈھلتی ہے,عباس تابش
691,یہ کیا شیرازہ بندی ہے,پروں میں شام ڈھلتی ہے,عباس تابش
692,یہ میری بے پری کس کنج سے ہو کر بہم نکلی,پروں میں شام ڈھلتی ہے,عباس تابش
693,نظر میں دن نکلتا ہے,پروں میں شام ڈھلتی ہے,عباس تابش
694,پروں میں شام ڈھلتی ہے,پروں میں شام ڈھلتی ہے,عباس تابش
695,مگر میں تو لہو کی منجمد سل ہوں,پروں میں شام ڈھلتی ہے,عباس تابش
696,بدن کی کشت ویراں میں,پروں میں شام ڈھلتی ہے,عباس تابش
697,یہ کس کی انگلیوں نے عمر بھر مجھ کو کریدا ہے,پروں میں شام ڈھلتی ہے,عباس تابش
698,کہاں شریان میں چلتا ہوا یہ قافلہ ٹھہرا,پروں میں شام ڈھلتی ہے,عباس تابش
699,کہ میں اس ہاتھ کی ریکھاؤں میں رنگ حنا ٹھہرا,پروں میں شام ڈھلتی ہے,عباس تابش
700,کہاں جانا تھا مجھ کو,پروں میں شام ڈھلتی ہے,عباس تابش
701,کس جگہ خیمہ لگانا تھا,پروں میں شام ڈھلتی ہے,عباس تابش
702,رفاقتوں کے طویل رستے,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
703,پہ چلتے چلتے,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
704,بہت ہی اکتا گیا تھا جاناں,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
705,تو یہ بھی اچھا ہوا,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
706,کہ اک دن وہ موڑ آیا,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
707,کہ جس کی پگڈنڈیاں جدا تھیں,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
708,بس اک اشارہ تھی وہ ہی ساعت,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
709,وہی تو لمحہ تھا فیصلے کا,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
710,وہ ہاتھ اب ہم کو چھوڑنا تھے,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
711,کہ جن کو تھامے بہت دنوں سے,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
712,رفاقتوں کے سفر میں,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
713,دونوں ہی ہم قدم تھے,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
714,تو پھر وہ لمحہ بھی آ گیا جب,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
715,بغیر تمہید ہجر کوئی,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
716,بچھڑ گئے ہم,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
717,الگ دشاؤں کا قصد باندھے,وہی تو لمحہ تھا فیصلے کا,عبد الوہاب سخن
718,اے وطن اے وطن اے ہمارے وطن,اے وطن اے وطن,عبدالمنان طرزی
719,پھول ہم ہیں ترے تو ہمارا چمن,اے وطن اے وطن,عبدالمنان طرزی
720,تیری عظمت پہ ہیں جان و دل سے خدا,اے وطن اے وطن,عبدالمنان طرزی
721,آسماں جھک کے پرچم ترا چومتا,اے وطن اے وطن,عبدالمنان طرزی
722,اے وطن اپنی جنت ہے کوچہ ترا,اے وطن اے وطن,عبدالمنان طرزی
723,خوشبو ہم اور تو نرگس و نسترن,اے وطن اے وطن,عبدالمنان طرزی
724,اے وطن اے وطن اے ہمارے وطن,اے وطن اے وطن,عبدالمنان طرزی
725,پھول ہم ہیں ترے تو ہمارا چمن,اے وطن اے وطن,عبدالمنان طرزی
726,ہم ہیں فصل بہار اور تو گلستاں,اے وطن اے وطن,عبدالمنان طرزی
727,تو اگر آسماں ہے تو ہم کہکشاں,اے وطن اے وطن,عبدالمنان طرزی
728,شاخ گل تو اگر ہے تو ہم آشیاں,اے وطن اے وطن,عبدالمنان طرزی
729,تو گل انداز و گل فام اور گل بدن,اے وطن اے وطن,عبدالمنان طرزی
730,اے وطن اے وطن اے ہمارے وطن,اے وطن اے وطن,عبدالمنان طرزی
731,پھول ہم ہیں ترے تو ہمارا چمن,اے وطن اے وطن,عبدالمنان طرزی
732,اے وطن خاک تیری ہے خاک شفا,اے وطن اے وطن,عبدالمنان طرزی
733,چاند سورج سا ہے ذرہ ذرہ ترا,اے وطن اے وطن,عبدالمنان طرزی
734,گیت گاتی ہے تیرا ہی موج صبا,اے وطن اے وطن,عبدالمنان طرزی
735,پاؤں دھوتے ہیں دریائے گنگ و جمن,اے وطن اے وطن,عبدالمنان طرزی
736,اے وطن اے وطن اے ہمارے وطن,اے وطن اے وطن,عبدالمنان طرزی
737,پھول ہم ہیں ترے تو ہمارا چمن,اے وطن اے وطن,عبدالمنان طرزی
738,سر پہ دستار تیرے ہمالہ بنا,اے وطن اے وطن,عبدالمنان طرزی
739,چوٹی کیلاش کی مانگ ٹیکہ ترا,اے وطن اے وطن,عبدالمنان طرزی
740,اے وطن حسن کشمیر چہرہ ترا,اے وطن اے وطن,عبدالمنان طرزی
741,صبح کاشی و شام اودھ پیرہن,اے وطن اے وطن,عبدالمنان طرزی
742,اے وطن اے وطن اے ہمارے وطن,اے وطن اے وطن,عبدالمنان طرزی
743,پھول ہم ہیں ترے تو ہمارا چمن,اے وطن اے وطن,عبدالمنان طرزی
744,اے وطن ہے دعا تو سلامت رہے,اے وطن اے وطن,عبدالمنان طرزی
745,اپنی آنکھوں میں تو مثل جنت رہے,اے وطن اے وطن,عبدالمنان طرزی
746,ہم کو تجھ سے ہمیشہ محبت رہے,اے وطن اے وطن,عبدالمنان طرزی
747,تو ہے نسرین و لالہ و سرو و سمن,اے وطن اے وطن,عبدالمنان طرزی
748,اے وطن اے وطن اے ہمارے وطن,اے وطن اے وطن,عبدالمنان طرزی
749,پھول ہم ہیں ترے تو ہمارا چمن,اے وطن اے وطن,عبدالمنان طرزی
750,شفق کے پھول تھالی میں سجائے سانولی آئی,اندیشۂ وصال کی ایک نظم,عباس تابش
751,چراغوں سے لویں کھینچیں دریچوں میں نمی آئی,اندیشۂ وصال کی ایک نظم,عباس تابش
752,میں سمجھا اس سے ملنے کی گھڑی آئی,اندیشۂ وصال کی ایک نظم,عباس تابش
753,ہوا جاروب کش تھی آسماں آثار تنکوں کی,اندیشۂ وصال کی ایک نظم,عباس تابش
754,جسے اپنی سہولت کے لیے دنیا... یہ تن آسان دنیا... اک مروت میں,اندیشۂ وصال کی ایک نظم,عباس تابش
755,ہجوم خلق کہتی ہے,اندیشۂ وصال کی ایک نظم,عباس تابش
756,مری آنکھیں تہی گلدان کی صورت منڈیروں پر,اندیشۂ وصال کی ایک نظم,عباس تابش
757,گلی سے اٹھنے والی گرد کو تتلی بتاتی ہیں,اندیشۂ وصال کی ایک نظم,عباس تابش
758,یہ منظر منجمد ہو کر سفر آغاز کرتا ہے,اندیشۂ وصال کی ایک نظم,عباس تابش
759,لہو کی برق رفتاری طنابیں کھینچ لیتی ہے,اندیشۂ وصال کی ایک نظم,عباس تابش
760,یہ کیسی شام شہزادی,اندیشۂ وصال کی ایک نظم,عباس تابش
761,شفق کے پھول تھالی میں سجائے زینۂ شب سے اتر آئی,اندیشۂ وصال کی ایک نظم,عباس تابش
762,میں سمجھا اس سے ملنے کی گھڑی آئی,اندیشۂ وصال کی ایک نظم,عباس تابش
763,سلاخوں سے لہو پھوٹا لہو میں روشنی آئی,اندیشۂ وصال کی ایک نظم,عباس تابش
764,شہنائی بجاتا ہوا اک ننھا سا مچھر,ماتھے کا جھومر,عبدالقادر
765,پہنچا کسی میدان میں نالے سے نکل کر,ماتھے کا جھومر,عبدالقادر
766,میدان میں کچھ دیر بھٹکتا رہا مچھر,ماتھے کا جھومر,عبدالقادر
767,کچھ کام نہیں تھا تو مٹکتا رہا مچھر,ماتھے کا جھومر,عبدالقادر
768,موصوف نے اک بیل کو بیٹھا ہوا پایا,ماتھے کا جھومر,عبدالقادر
769,تب دل میں سواری کا ذرا شوق سمایا,ماتھے کا جھومر,عبدالقادر
770,آرام سے وہ بیٹھ گیا سینگ کے اوپر,ماتھے کا جھومر,عبدالقادر
771,پھر اپنے خیالات میں گم ہو گیا مچھر,ماتھے کا جھومر,عبدالقادر
772,دو گھنٹے گزر جانے پہ موصوف نے سوچا,ماتھے کا جھومر,عبدالقادر
773,اس بیل کو بے جرم و خطا میں نے دبوچا,ماتھے کا جھومر,عبدالقادر
774,یہ بیل پچک جائے گا سوچا نہیں میں نے,ماتھے کا جھومر,عبدالقادر
775,اب کچلا گیا پیسا گیا میرے بدن سے,ماتھے کا جھومر,عبدالقادر
776,یہ دبتا رہا سرمہ بنا ٹوٹی قیامت,ماتھے کا جھومر,عبدالقادر
777,لیکن کوئی شکوہ نہ کیا واہ شرافت,ماتھے کا جھومر,عبدالقادر
778,وفا اور عشق کے رشتے بڑے خوش رنگ ہوتے ہیں,وفا اور عشق کے رشتے بڑے خوش رنگ ہوتے ہیں,عازم کوہلی
779,ادائیں دل کشا ان کی رسیلے ڈھنگ ہوتے ہیں,وفا اور عشق کے رشتے بڑے خوش رنگ ہوتے ہیں,عازم کوہلی
780,کسی موسم کسی رت میں کسی بھی شاخ پر اکثر,وفا اور عشق کے رشتے بڑے خوش رنگ ہوتے ہیں,عازم کوہلی
781,یہ ننھی کونپلیں بن کر چمن آباد کرتے ہیں,وفا اور عشق کے رشتے بڑے خوش رنگ ہوتے ہیں,عازم کوہلی
